"alpha_true","n","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
1,10,"Stirling-Gamma",200,200,0.10305806273759,0.00268124632551436,0.123031397973821,0.000731283645148787,0.885,0.58980838995388,NA,NA,0.00300000000000011,0.00499999999999545,NA,NA,NA
1,50,"P-IG Gibbs",200,200,0.0198100734755988,0.00051498164285109,0.00655870074469468,0.000253663630629696,0.94,0.0894351070484707,0.151018321121108,189.780375875548,3.89700000000005,4.15289999999986,NA,0.682741446037128,0.0230218297928312
1,50,"Slice-log-alpha",200,200,0.0140115023215695,0.00025934686546125,0.00407985854012682,9.44453432613193e-05,0.94,0.0895378709281381,0.8,20618.5567010303,0.188500000000001,0.263400000000004,NA,0.00363612142262052,-0.000813598488203447
1,50,"Miller-IMH",200,200,0.0134028455102792,0.000295537407168497,0.00386573404181228,0.000107197781234708,0.94,0.0896518264384766,0.8,45977.0114942558,0.0839999999999979,0.139099999999999,0.9932,0.0197544053082388,-0.00145605495490889
1,50,"Miller-Gamma",200,200,0.00392642626210251,1.06938383299107e-05,0.00252969007340015,2.63437628234084e-05,0.94,0.0870096716371155,NA,NA,0.00300000000000011,0.004999999999999,NA,NA,NA
1,50,"Stirling-Gamma",200,200,0.285299237371428,0.00296104341351459,0.131248076684423,0.00038825895790382,0.895,-0.0417087136330975,NA,NA,0.00300000000000011,0.00500000000000167,NA,NA,NA
1,500,"P-IG Gibbs",200,200,0.0191413465290109,0.00059372327184653,0.00187574379094936,7.25863302751127e-05,0.965,0.00630672990753636,0.155190601149481,42.4226745191324,18.2520000000002,19.2168999999999,NA,0.677481804932247,0.0205124872331833
1,500,"Slice-log-alpha",200,200,0.0145919995365389,0.000293441540719947,0.00124029452249471,3.0022140854541e-05,0.965,0.0063871932171574,0.8,18257.969952908,0.219000000000008,0.305199999999992,NA,0.00201691092035905,0.00123698347791844
1,500,"Miller-IMH",200,200,0.0139184350979501,0.000289720043547307,0.00116258913259023,2.64409307562447e-05,0.965,0.00642274447369264,0.8,47619.0476190468,0.0829999999999984,0.1251,0.9978,0.00607253549109349,-0.000850184513840524
1,500,"Miller-Gamma",200,200,0.00103608733974022,8.61024004250931e-07,0.000223046082215501,7.26856616724837e-07,0.965,0.00613291000264293,NA,NA,0.00400000000000489,0.007000000000005,NA,NA,NA
