"prior_delta","prior_center","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
2.5,0.5,"Stirling-Gamma",100,100,0.168320723413408,0.00236449390732679,0.139001314777367,0.000354783291737883,0.69,-0.561584721234879,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
2.5,2,"Slice-log-alpha",100,100,0.0145648013820609,0.000423470561940702,0.0119031199714122,0.000465318388657633,0.95,0.292139152470905,0.8,20354.589197426,0.192499999999996,0.255399999999994,NA,0.00694679145125566,0.00134177480414371
2.5,2,"Miller-IMH",100,100,0.0130368016493829,0.000416023665077273,0.00997239168591167,0.000415342408649974,0.95,0.291211266312747,0.8,45052.4226931313,0.085000000000008,0.142299999999997,0.994,0.0172169785472086,-0.000723933380746426
2.5,2,"Miller-Gamma",100,100,0.00363789015780236,4.49483582088554e-05,0.0058417511756265,4.55509413735932e-05,0.96,0.285805147547738,NA,NA,0.00300000000001432,0.00500000000002387,NA,NA,NA
2.5,2,"Stirling-Gamma",100,100,0.120987451016991,0.00233703849302532,0.145827856378136,0.000328674474246442,0.98,0.145819044199704,NA,NA,0.0029999999999859,0.00499999999999545,NA,NA,NA
2.5,10,"Slice-log-alpha",100,100,0.014521877801812,0.000401322278614044,0.00752792284103759,0.000257797592889117,0.84,-0.433918144717911,0.8,20100.5025125644,0.198999999999984,0.280299999999997,NA,0.00195870476654999,-0.00235857815906409
2.5,10,"Miller-IMH",100,100,0.0140656871382577,0.000458881567058924,0.00706798347691506,0.000251476169523508,0.83,-0.434840400952694,0.798655487851706,44820.475277236,0.0859999999999985,0.141999999999999,0.9928,0.0205076854429814,-0.000618529211832113
2.5,10,"Miller-Gamma",100,100,0.00443222630503294,2.87596641408029e-05,0.00489733954399061,4.41238451585196e-05,0.83,-0.439252875370666,NA,NA,0.00300000000001432,0.00600000000000023,NA,NA,NA
2.5,10,"Stirling-Gamma",100,100,0.169318337994254,0.00228038858738106,0.138855757797292,0.000341639708916686,0.66,-0.573211292215637,NA,NA,0.0029999999999859,0.00499999999999545,NA,NA,NA
10,0.5,"P-IG Gibbs",100,100,0.018456698168798,0.000910716717431697,0.0059629660913509,0.000375301417919397,0,-1.03442469721153,0.171091872286875,311.926254587128,2.73050000000012,3.00070000000041,NA,0.648367969462034,0.0134144366938463
10,0.5,"Slice-log-alpha",100,100,0.0144484674827952,0.000482313140481,0.00414734029538264,0.000166611619254436,0,-1.03369043120482,0.8,20185.227750548,0.194500000000005,0.281000000000006,NA,0.00440325163351119,0.000125021554137471
10,0.5,"Miller-IMH",100,100,0.0133789321247384,0.000377170104311485,0.00367423156848391,0.000118215997494871,0,-1.03441796528493,0.8,45454.5454545486,0.0845000000000056,0.128400000000008,0.9924,0.0202170281754495,-0.000875764740444719
10,0.5,"Miller-Gamma",100,100,0.00454607241411904,4.36369845117011e-06,0.00284427500083545,1.80558099514475e-05,0,-1.03700021701117,NA,NA,0.00300000000001432,0.00500000000002387,NA,NA,NA
10,0.5,"Stirling-Gamma",100,100,0.278393177028872,0.00155289704811873,0.127136560784483,0.000227653698369393,0,-1.16129250150011,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
10,2,"P-IG Gibbs",100,100,0.0283495931896073,0.00138425665556164,0.0260815597725382,0.00186819188928288,1,0.18721056579183,0.0599510285751165,106.171808841198,2.7470000000003,3.01260000000057,NA,0.857189762875159,0.224126067170673
10,2,"Slice-log-alpha",100,100,0.0138938300983966,0.000368115734282369,0.00951379013547719,0.000353726684996436,1,0.188384480299024,0.8,20050.2512562827,0.197999999999994,0.258999999999989,NA,0.00449689583129276,-0.00186256197128036
10,2,"Miller-IMH",100,100,0.0137011022075578,0.00038460231751668,0.00867049573728684,0.000278062693742032,1,0.18676190106125,0.8,46871.6882938305,0.082000000000022,0.143500000000003,0.9944,0.0164866405982495,-0.000473811785787876
10,2,"Miller-Gamma",100,100,0.00334002276235511,3.05733829575692e-05,0.0047860777877196,3.07186558564983e-05,1,0.181694872346524,NA,NA,0.00300000000001432,0.00510000000002151,NA,NA,NA
10,2,"Stirling-Gamma",100,100,0.137664843515176,0.00200994776696155,0.146507463441535,0.000256740258433903,1,0.0399734881689678,NA,NA,0.0029999999999859,0.00499999999999545,NA,NA,NA
